,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,ticker,lastDateFormatted,firstDateFormatted
6,2022-12-31,2023-02-13,0.04,0.03,0.01,33.3333,post-market,PLTR,20230212T2359,20230202T0001
7,2022-09-30,2022-11-07,0.01,0.02,-0.01,-50,pre-market,PLTR,20221106T2359,20221027T0001
8,2022-06-30,2022-08-08,-0.01,0.03,-0.04,-133.3333,pre-market,PLTR,20220807T2359,20220728T0001
9,2022-03-31,2022-05-09,0.02,0.04,-0.02,-50,pre-market,PLTR,20220508T2359,20220428T0001
0,2024-07-31,2024-08-22,1.99,1.85,0.14,7.5676,post-market,INTU,20240821T2359,20240811T0001
1,2024-04-30,2024-05-23,9.88,9.37,0.51,5.4429,post-market,INTU,20240522T2359,20240512T0001
2,2024-01-31,2024-02-22,2.63,2.3,0.33,14.3478,post-market,INTU,20240221T2359,20240211T0001
3,2023-10-31,2023-11-28,2.47,1.98,0.49,24.7475,post-market,INTU,20231127T2359,20231117T0001
4,2023-07-31,2023-08-24,1.65,1.44,0.21,14.5833,post-market,INTU,20230823T2359,20230813T0001
5,2023-04-30,2023-05-23,8.92,8.48,0.44,5.1887,post-market,INTU,20230522T2359,20230512T0001
6,2023-01-31,2023-02-23,2.2,1.44,0.76,52.7778,post-market,INTU,20230222T2359,20230212T0001
7,2022-10-31,2022-11-29,1.66,1.22,0.44,36.0656,post-market,INTU,20221128T2359,20221118T0001
8,2022-07-31,2022-08-23,1.1,0.98,0.12,12.2449,post-market,INTU,20220822T2359,20220812T0001
9,2022-04-30,2022-05-24,7.65,7.58,0.07,0.9235,post-market,INTU,20220523T2359,20220513T0001
0,2024-06-30,2024-07-31,2.09,2.06,0.03,1.4563,pre-market,ADP,20240730T2359,20240720T0001
1,2024-03-31,2024-05-01,2.88,2.79,0.09,3.2258,pre-market,ADP,20240430T2359,20240420T0001
2,2023-12-31,2024-01-31,2.13,2.1,0.03,1.4286,pre-market,ADP,20240130T2359,20240120T0001
3,2023-09-30,2023-10-25,2.08,2.03,0.05,2.4631,pre-market,ADP,20231024T2359,20231014T0001
4,2023-06-30,2023-07-26,1.89,1.83,0.06,3.2787,pre-market,ADP,20230725T2359,20230715T0001
5,2023-03-31,2023-04-26,2.52,2.45,0.07,2.8571,pre-market,ADP,20230425T2359,20230415T0001
6,2022-12-31,2023-01-25,1.96,1.94,0.02,1.0309,post-market,ADP,20230124T2359,20230114T0001
7,2022-09-30,2022-10-26,1.86,1.8,0.06,3.3333,pre-market,ADP,20221025T2359,20221015T0001
8,2022-06-30,2022-07-27,1.5,1.46,0.04,2.7397,pre-market,ADP,20220726T2359,20220716T0001
9,2022-03-31,2022-04-27,2.21,2.08,0.13,6.25,pre-market,ADP,20220426T2359,20220416T0001
0,2024-07-31,2024-08-29,1.89,1.71,0.18,10.5263,post-market,DELL,20240828T2359,20240818T0001
1,2024-04-30,2024-05-30,1.27,1.26,0.01,0.7937,post-market,DELL,20240529T2359,20240519T0001
2,2024-01-31,2024-02-29,2.2,1.73,0.47,27.1676,post-market,DELL,20240228T2359,20240218T0001
3,2023-10-31,2023-11-30,1.88,1.47,0.41,27.8912,post-market,DELL,20231129T2359,20231119T0001
4,2023-07-31,2023-08-31,1.74,1.14,0.6,52.6316,post-market,DELL,20230830T2359,20230820T0001
5,2023-04-30,2023-06-01,1.31,0.86,0.45,52.3256,post-market,DELL,20230531T2359,20230521T0001
6,2023-01-31,2023-03-02,1.8,1.63,0.17,10.4294,post-market,DELL,20230301T2359,20230219T0001
7,2022-10-31,2022-11-21,2.3,1.6,0.7,43.75,post-market,DELL,20221120T2359,20221110T0001
8,2022-07-31,2022-08-25,1.68,1.64,0.04,2.439,post-market,DELL,20220824T2359,20220814T0001
9,2022-04-30,2022-05-26,1.84,1.39,0.45,32.3741,post-market,DELL,20220525T2359,20220515T0001
0,2024-06-30,2024-08-06,0.86,0.92,-0.06,-6.5217,post-market,ABNB,20240805T2359,20240726T0001
1,2024-03-31,2024-05-08,0.41,0.24,0.17,70.8333,post-market,ABNB,20240507T2359,20240427T0001
2,2023-12-31,2024-02-13,0.76,0.62,0.14,22.5806,post-market,ABNB,20240212T2359,20240202T0001
3,2023-09-30,2023-11-01,2.43,2.1,0.33,15.7143,post-market,ABNB,20231031T2359,20231021T0001
4,2023-06-30,2023-08-03,0.98,0.78,0.2,25.641,post-market,ABNB,20230802T2359,20230723T0001
